day,month,year,rate
23,Mar,2017,0.703779
24,Mar,2017,0.703373
25,Mar,2017,0.702691
26,Mar,2017,0.702691
27,Mar,2017,0.704801
28,Mar,2017,0.70281
29,Mar,2017,0.7026
30,Mar,2017,0.701309
31,Mar,2017,0.701348
2,Apr,2017,0.700599
3,Apr,2017,0.69991
4,Apr,2017,0.69728
5,Apr,2017,0.694592
6,Apr,2017,0.697301
7,Apr,2017,0.695321
8,Apr,2017,0.693746
9,Apr,2017,0.693746
10,Apr,2017,0.69642
11,Apr,2017,0.6958
12,Apr,2017,0.69219
13,Apr,2017,0.701319
14,Apr,2017,0.700501
15,Apr,2017,0.70055
16,Apr,2017,0.699692
17,Apr,2017,0.702001
18,Apr,2017,0.702669
19,Apr,2017,0.700238
20,Apr,2017,0.701791
21,Apr,2017,0.702297
22,Apr,2017,0.703087
23,Apr,2017,0.703185
24,Apr,2017,0.701152
25,Apr,2017,0.694582
26,Apr,2017,0.687498
27,Apr,2017,0.686592
28,Apr,2017,0.686521
29,Apr,2017,0.686955
30,Apr,2017,0.68679
1,May,2017,0.690717
2,May,2017,0.69253
4,May,2017,0.685808
5,May,2017,0.691467
6,May,2017,0.692449
7,May,2017,0.692449
8,May,2017,0.690312
9,May,2017,0.689099
10,May,2017,0.694693
11,May,2017,0.684498
12,May,2017,0.685549
13,May,2017,0.685895
14,May,2017,0.686201
15,May,2017,0.688051
16,May,2017,0.688179
17,May,2017,0.693087
18,May,2017,0.691759
20,May,2017,0.692449
21,May,2017,0.692905
22,May,2017,0.699739
23,May,2017,0.701058
24,May,2017,0.70191
25,May,2017,0.704359
26,May,2017,0.705831
27,May,2017,0.706414
28,May,2017,0.706414
29,May,2017,0.705572
30,May,2017,0.709461
31,May,2017,0.70991
1,Jun,2017,0.70626
2,Jun,2017,0.713921
3,Jun,2017,0.714388
4,Jun,2017,0.714388
5,Jun,2017,0.714482
6,Jun,2017,0.718801
7,Jun,2017,0.719878
8,Jun,2017,0.721371
9,Jun,2017,0.720923
10,Jun,2017,0.721137
11,Jun,2017,0.721397
12,Jun,2017,0.720049
13,Jun,2017,0.722491
14,Jun,2017,0.730098
15,Jun,2017,0.720101
16,Jun,2017,0.725253
17,Jun,2017,0.725005
18,Jun,2017,0.725005
19,Jun,2017,0.723762
20,Jun,2017,0.723851
21,Jun,2017,0.721183
22,Jun,2017,0.727088
23,Jun,2017,0.72915
24,Jun,2017,0.728651
25,Jun,2017,0.728651
26,Jun,2017,0.729868
27,Jun,2017,0.72732
28,Jun,2017,0.7303
29,Jun,2017,0.728497
30,Jun,2017,0.73211
1,Jul,2017,0.732789
2,Jul,2017,0.732789
3,Jul,2017,0.729677
4,Jul,2017,0.729448
5,Jul,2017,0.727548
6,Jul,2017,0.727178
7,Jul,2017,0.727977
8,Jul,2017,0.728253
9,Jul,2017,0.7282
10,Jul,2017,0.726691
11,Jul,2017,0.722262
12,Jul,2017,0.72609
13,Jul,2017,0.731061
14,Jul,2017,0.732306
15,Jul,2017,0.734754
16,Jul,2017,0.734754
17,Jul,2017,0.732582
18,Jul,2017,0.735091
19,Jul,2017,0.735302
20,Jul,2017,0.741262
21,Jul,2017,0.743893
22,Jul,2017,0.745601
23,Jul,2017,0.745601
24,Jul,2017,0.74308
25,Jul,2017,0.742583
26,Jul,2017,0.74423
27,Jul,2017,0.749367
28,Jul,2017,0.750418
29,Jul,2017,0.751287
30,Jul,2017,0.751287
31,Jul,2017,0.749457
1,Aug,2017,0.747602
2,Aug,2017,0.744402
3,Aug,2017,0.743191
4,Aug,2017,0.741207
5,Aug,2017,0.741482
6,Aug,2017,0.740988
7,Aug,2017,0.735213
8,Aug,2017,0.73275
9,Aug,2017,0.73165
10,Aug,2017,0.7275
11,Aug,2017,0.731288
12,Aug,2017,0.731984
13,Aug,2017,0.731984
14,Aug,2017,0.729469
15,Aug,2017,0.723458
16,Aug,2017,0.726781
17,Aug,2017,0.730463
18,Aug,2017,0.732888
19,Aug,2017,0.731208
20,Aug,2017,0.731395
21,Aug,2017,0.732282
